old_path,new_path,proposed_status,note
/bordyury-i-zheloba/borduri/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/bordyury-i-zheloba/geloba/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/bordyury-i-zheloba/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/article/2-uncategorised/65-zabori/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/10-dekor-kamen/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/11-zabori/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/12-borduri-i-geloba/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/13-tratyar-plitka/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/14-plitka-taktilnaya/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/15-stypeni/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/16-nashi-yslygi/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/17-metalloconstrykcii/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/18-termopanel/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/2-uncategorised/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/category/9-navershiya-stolbov/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/component/content/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/dekorativ-kamen/bytovii/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/dekorativ-kamen/cokolnaya-plita/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
/dekorativ-kamen/drevnik-kerpich/,,review,Нет подтверждённой замены в стартовом ассортименте; не перенаправлять на главную
